surface_m2,pieces,age_annees,revenu_median,distance_centre_km,prix
95.0,4.0,55,3.416,4.16,4.415
96.3,3.0,15,3.178,8.27,4.656
169.1,8.0,11,3.494,16.92,6.366
96.8,5.0,58,1.852,3.42,3.582
116.0,5.0,42,1.802,1.02,4.058
56.4,3.0,23,2.667,1.95,2.865
182.8,8.0,23,2.696,21.79,5.767
139.7,7.0,3,2.149,3.02,6.141
102.8,4.0,76,3.03,2.76,4.425
93.6,6.0,75,4.091,7.42,4.953
127.5,5.0,49,4.638,2.51,6.68
154.4,6.0,31,5.132,9.94,6.637
183.7,8.0,19,1.504,10.44,6.324
138.1,6.0,27,1.611,13.09,5.161
107.4,4.0,83,2.386,1.86,4.398
145.5,7.0,7,2.818,2.54,6.474
136.1,5.0,74,2.442,8.81,5.319
107.5,5.0,27,2.12,5.32,4.667
134.7,5.0,23,2.37,4.31,5.502
133.9,6.0,72,3.379,0.15,6.448
102.6,5.0,86,1.494,1.24,3.909
87.8,6.0,89,7.803,4.73,6.408
129.9,5.0,24,2.744,15.99,4.613
73.7,3.0,53,4.362,18.13,3.591
68.5,3.0,26,2.094,4.46,2.742
116.6,5.0,17,3.52,6.84,4.616
128.6,5.0,34,2.844,7.68,5.371
116.3,6.0,5,3.997,2.38,5.489
120.7,5.0,14,2.486,0.76,4.845
50.6,4.0,53,5.464,2.97,4.508
127.9,6.0,61,1.389,2.14,5.148
169.3,7.0,24,4.167,6.56,7.186
139.0,6.0,50,2.867,7.68,4.452
137.5,6.0,68,1.719,3.93,5.297
113.6,6.0,80,6.543,6.4,6.6
115.0,4.0,51,6.246,4.03,6.476
99.8,4.0,21,1.069,3.6,3.821
119.4,5.0,64,2.943,3.15,4.999
72.5,4.0,15,3.734,23.86,2.701
169.6,9.0,12,3.316,2.01,7.105
78.9,5.0,32,5.376,4.17,4.764
138.9,7.0,29,4.896,8.47,6.697
161.8,7.0,13,3.063,0.42,7.115
138.7,7.0,4,7.574,2.87,8.499
218.1,9.0,85,4.144,0.42,8.631
51.7,1.0,60,2.321,0.21,1.881
89.7,4.0,64,2.12,1.65,3.636
160.9,7.0,5,4.756,4.23,7.176
67.7,3.0,71,1.903,11.04,2.365
79.7,4.0,32,2.261,3.84,3.071
125.1,6.0,67,2.44,3.02,5.536
107.0,6.0,44,3.19,7.52,4.449
122.5,6.0,21,2.492,19.45,4.822
110.0,5.0,23,1.503,1.61,4.572
113.4,5.0,12,4.586,5.22,5.336
82.2,4.0,74,2.266,0.34,4.384
112.2,5.0,38,6.746,15.18,6.033
91.7,4.0,70,3.117,4.94,4.115
95.9,6.0,74,4.808,1.29,5.363
138.2,6.0,15,3.611,3.25,6.399
66.6,3.0,29,4.912,4.8,4.349
45.9,2.0,11,3.514,2.69,2.691
134.7,7.0,0,3.022,7.64,5.707
112.3,6.0,88,4.446,9.95,5.18
161.8,8.0,59,8.32,0.14,9.517
80.4,4.0,40,2.408,3.74,3.8
101.5,5.0,18,3.887,9.82,4.792
108.3,6.0,53,2.712,9.12,4.239
85.5,4.0,48,3.413,6.88,3.766
77.1,3.0,20,2.77,12.19,2.69
137.0,7.0,1,1.029,3.06,5.435
64.6,2.0,42,2.484,15.88,1.959
73.0,3.0,45,4.262,0.52,4.19
100.4,5.0,71,1.926,1.83,4.168
142.6,5.0,35,4.114,0.41,6.568
87.3,5.0,8,2.952,5.57,4.18
83.7,3.0,79,2.494,9.64,2.783
98.4,4.0,37,4.086,3.77,4.991
118.6,5.0,64,3.693,2.27,5.318
93.3,4.0,3,3.285,2.04,4.594
149.1,7.0,3,4.294,7.49,7.188
151.3,7.0,2,2.978,4.25,6.634
100.4,5.0,71,1.297,25.19,2.2
195.4,9.0,21,2.293,6.88,7.426
107.5,4.0,71,1.207,8.59,4.008
149.5,8.0,85,3.654,0.46,6.615
117.5,4.0,59,4.069,28.61,3.896
116.7,5.0,88,4.153,3.2,5.658
59.9,2.0,83,3.388,32.02,1.385
71.0,4.0,65,4.202,3.25,3.916
95.0,3.0,72,1.337,13.05,2.479
150.9,7.0,54,2.59,0.05,6.311
118.0,5.0,19,1.438,3.87,4.71
95.2,5.0,9,2.313,2.46,4.777
129.1,6.0,34,5.626,2.01,6.354
148.9,6.0,42,4.446,2.89,7.464
105.2,4.0,31,3.662,2.83,4.89
113.2,6.0,9,2.505,6.5,5.141
108.3,4.0,45,1.738,1.81,3.965
103.0,5.0,44,2.957,3.75,4.056
80.1,4.0,85,4.481,1.55,4.007
78.1,3.0,85,3.269,2.34,3.577
128.8,8.0,55,1.332,11.6,4.691
149.9,7.0,76,2.849,0.0,6.327
95.2,5.0,28,1.149,19.27,2.617
94.4,4.0,87,3.904,3.22,4.92
54.9,3.0,84,1.99,3.68,2.347
51.9,3.0,11,1.568,20.63,1.438
163.6,7.0,63,3.928,5.16,8.043
81.8,4.0,41,3.496,21.45,3.054
224.0,9.0,23,3.018,4.38,8.56
86.5,3.0,37,7.288,0.35,6.235
60.6,3.0,81,3.617,3.47,3.529
108.6,5.0,83,2.034,4.93,4.251
136.5,5.0,30,3.434,18.16,5.085
131.2,7.0,41,2.39,13.06,5.422
141.3,6.0,46,4.807,0.39,7.388
74.9,3.0,66,3.085,5.15,3.379
162.2,9.0,43,3.225,15.6,6.063
165.6,7.0,35,1.42,12.15,5.729
168.3,8.0,83,2.794,0.88,6.653
114.6,4.0,33,2.65,9.2,4.735
92.7,3.0,23,1.714,20.33,2.75
90.0,4.0,29,2.46,9.74,4.521
60.5,3.0,29,3.307,16.88,3.049
87.2,4.0,49,2.713,12.93,2.967
45.0,2.0,59,1.44,5.69,1.478
57.9,3.0,12,2.404,3.66,2.241
114.2,4.0,79,2.202,2.25,3.696
96.3,5.0,22,2.966,1.31,4.696
112.5,5.0,10,2.825,1.76,4.683
132.8,7.0,60,2.259,13.29,5.378
119.5,5.0,18,2.219,3.15,5.328
116.0,5.0,67,2.802,11.65,4.28
101.9,5.0,85,4.193,11.58,4.395
80.8,3.0,62,3.081,5.77,4.097
67.9,3.0,69,5.157,15.07,4.136
87.9,4.0,44,4.526,4.41,4.388
102.5,4.0,31,5.331,10.73,4.815
106.8,4.0,55,5.032,20.31,4.405
141.4,7.0,32,5.492,6.63,7.177
99.4,5.0,78,1.618,5.04,3.516
126.1,6.0,42,3.638,25.67,4.591
63.1,3.0,44,4.703,21.05,3.612
114.7,6.0,60,5.102,50.55,2.692
112.0,5.0,17,1.922,5.02,4.298
162.2,7.0,50,3.654,7.58,6.21
96.3,5.0,67,2.812,18.26,3.098
94.9,5.0,69,6.241,1.01,5.817
133.1,6.0,20,1.456,6.55,4.642
69.5,4.0,4,1.923,9.19,3.046
113.7,5.0,17,1.203,7.14,4.108
68.4,3.0,73,2.901,5.61,3.194
188.0,8.0,23,7.529,14.69,8.908
90.7,4.0,5,2.665,1.46,4.219
67.0,4.0,53,2.845,2.62,3.277
87.7,2.0,79,3.482,13.98,3.197
113.9,5.0,20,2.58,3.11,5.059
124.8,6.0,3,3.205,14.78,4.333
159.1,6.0,12,3.243,0.07,7.001
84.2,4.0,11,1.858,4.51,3.224
135.3,6.0,18,2.606,2.09,5.634
57.9,2.0,16,3.796,2.59,2.919
73.2,5.0,57,4.128,20.77,3.053
63.6,4.0,20,4.876,3.31,4.402
79.3,4.0,49,3.161,0.78,4.2
133.1,6.0,36,3.19,13.66,4.771
84.9,4.0,58,3.81,16.81,3.644
90.2,6.0,58,2.08,4.35,4.268
115.0,6.0,53,2.042,2.48,4.554
123.0,5.0,80,2.57,0.35,5.104
91.1,3.0,17,1.531,13.13,2.203
73.0,4.0,47,3.264,9.67,3.057
176.5,8.0,35,4.358,6.81,7.761
91.3,3.0,47,1.975,6.44,3.749
94.4,5.0,12,3.306,13.85,3.831
98.4,4.0,28,2.048,1.55,5.083
127.4,6.0,84,1.72,5.13,4.783
62.0,3.0,72,6.855,10.6,3.936
201.4,9.0,38,1.732,3.67,7.979
93.5,5.0,9,1.529,14.36,2.757
128.9,6.0,58,2.994,5.05,5.515
67.2,3.0,27,3.067,5.91,2.969
111.0,5.0,29,3.67,7.62,4.534
189.5,9.0,8,6.69,15.41,9.156
179.5,8.0,26,1.916,0.54,6.982
127.7,7.0,19,2.095,14.93,5.247
77.6,5.0,3,5.607,0.07,5.078
156.1,7.0,52,4.148,11.09,5.969
57.8,1.0,87,3.896,0.58,3.056
76.7,4.0,11,2.085,18.36,3.584
102.1,4.0,4,4.512,12.61,5.093
59.4,2.0,9,3.902,3.55,3.722
87.7,4.0,49,2.96,13.71,3.629
136.2,6.0,74,2.089,3.62,5.064
82.0,5.0,27,2.852,17.85,4.119
138.5,6.0,10,5.708,20.35,6.342
221.6,9.0,8,1.661,3.39,8.368
119.6,6.0,54,1.897,2.9,5.116
137.6,6.0,32,2.049,6.44,4.811
158.0,7.0,31,2.259,0.8,6.117
90.4,5.0,21,2.699,22.03,3.034
136.5,7.0,80,4.184,11.25,6.169
89.6,5.0,33,3.346,12.03,3.487
116.7,5.0,63,2.794,10.36,4.461
143.7,7.0,66,3.079,0.02,6.199
78.8,4.0,5,3.6,12.24,3.158
46.2,2.0,22,1.275,8.23,1.439
76.3,3.0,80,4.403,21.66,3.201
151.3,6.0,79,1.874,8.25,4.771
73.2,3.0,37,2.226,2.36,3.764
148.2,7.0,14,3.168,12.24,6.086
76.5,4.0,26,2.628,6.42,3.588
97.3,3.0,85,3.384,6.19,4.095
104.5,4.0,60,2.897,2.26,4.161
73.1,3.0,6,2.386,20.22,2.163
97.7,5.0,64,5.408,3.87,5.603
60.5,2.0,13,3.738,0.54,3.425
93.1,4.0,27,3.114,1.82,4.523
101.6,4.0,43,3.712,1.28,4.636
46.8,2.0,31,1.979,0.39,2.545
76.1,3.0,62,7.233,0.87,5.783
115.5,5.0,14,1.666,2.77,4.023
70.4,3.0,78,2.86,1.42,3.387
122.0,6.0,53,2.39,4.17,4.461
126.1,5.0,27,2.349,22.37,3.339
115.3,5.0,86,2.216,11.67,3.805
135.9,7.0,43,1.921,10.58,5.953
59.3,3.0,37,4.64,0.74,4.306
146.0,7.0,1,1.581,4.79,6.128
73.5,4.0,89,4.232,8.03,3.965
108.6,5.0,76,3.639,6.08,4.898
186.7,8.0,15,2.29,7.34,7.404
92.4,5.0,85,3.454,6.37,3.981
105.4,6.0,71,2.532,9.35,4.342
73.7,4.0,37,1.656,23.01,2.319
186.0,8.0,83,1.664,2.71,7.039
76.2,4.0,50,3.651,2.53,4.491
129.9,6.0,61,3.567,1.77,5.937
157.9,7.0,16,3.031,2.3,7.331
134.3,6.0,9,2.279,3.53,5.453
117.8,6.0,47,2.495,8.62,5.411
108.0,5.0,29,2.348,5.06,4.678
67.0,3.0,88,1.238,16.98,1.422
182.9,9.0,7,2.794,2.56,7.23
114.4,5.0,68,3.439,10.57,4.392
105.4,4.0,54,2.802,6.79,3.945
71.6,3.0,79,6.026,1.27,4.798
107.2,5.0,89,1.73,9.55,3.219
103.2,5.0,78,2.019,6.23,4.371
186.7,8.0,33,2.886,10.9,7.112
105.4,5.0,62,3.033,13.8,4.076
106.6,5.0,14,1.155,2.19,3.722
71.9,4.0,43,3.565,9.91,3.206
81.0,3.0,24,3.04,4.61,3.01
124.6,6.0,22,1.047,0.21,5.395
55.8,2.0,51,2.579,0.38,2.353
145.7,6.0,11,1.889,12.1,4.703
147.1,6.0,51,2.217,11.71,5.72
78.3,5.0,36,1.489,0.66,3.569
117.9,5.0,20,3.278,5.93,5.219
159.8,7.0,50,6.006,5.53,7.923
100.4,3.0,67,3.063,19.47,3.647
94.1,3.0,54,1.029,9.06,2.921
98.0,4.0,7,3.091,17.58,3.188
114.4,5.0,50,2.49,12.87,4.436
84.5,4.0,56,1.656,3.42,3.478
91.4,3.0,61,3.187,2.38,4.561
115.1,5.0,38,4.039,0.98,5.223
88.9,5.0,8,2.012,6.21,3.514
69.9,4.0,11,1.297,0.5,3.224
54.3,1.0,29,1.099,22.96,0.421
106.1,4.0,57,2.015,11.4,2.835
156.1,6.0,66,2.535,6.64,5.952
119.9,6.0,60,2.155,2.06,5.237
70.8,2.0,28,1.999,16.78,2.098
80.9,5.0,39,3.51,13.85,3.81
93.9,4.0,4,3.348,0.31,4.91
188.9,9.0,71,2.974,10.8,7.158
192.8,9.0,31,3.925,2.91,8.379
184.3,8.0,45,2.023,17.99,6.611
109.8,5.0,40,1.661,0.56,4.11
276.5,9.0,25,2.149,2.2,10.382
82.2,3.0,15,2.083,27.27,1.653
92.7,4.0,85,1.08,3.57,2.915
141.7,8.0,10,2.127,2.86,6.376
115.3,6.0,84,4.469,0.08,5.427
117.6,6.0,10,3.898,8.13,5.389
52.9,2.0,8,3.443,0.7,4.129
74.5,4.0,81,2.884,7.83,3.579
102.9,4.0,85,5.217,3.57,5.104
82.6,3.0,80,1.687,4.45,2.811
65.5,3.0,69,1.761,3.76,2.557
85.8,5.0,44,4.508,4.54,5.213
115.4,7.0,9,2.752,10.43,4.527
133.6,6.0,53,2.01,5.7,4.706
53.8,2.0,46,3.485,21.56,2.193
104.6,4.0,66,2.232,18.24,2.674
101.4,5.0,3,1.865,18.73,3.025
113.3,5.0,6,1.842,26.94,3.158
71.2,4.0,52,3.141,0.6,3.773
71.6,4.0,76,2.982,14.46,2.322
157.7,7.0,83,5.379,1.13,7.714
43.3,2.0,51,2.386,2.73,2.439
78.6,3.0,33,2.367,1.27,3.343
91.2,5.0,42,5.196,2.94,5.912
94.3,4.0,45,4.236,1.36,5.074
83.1,4.0,55,2.901,11.94,2.99
123.3,6.0,20,1.347,15.9,4.557
119.7,5.0,34,1.886,17.19,3.689
99.8,5.0,48,1.692,6.93,3.811
84.7,3.0,76,2.763,9.34,3.109
97.2,4.0,72,2.162,9.03,3.758
107.5,5.0,67,5.592,7.97,5.427
80.9,3.0,19,1.34,1.68,3.065
126.4,5.0,36,1.612,10.1,4.312
145.4,6.0,49,3.035,0.16,6.065
167.3,9.0,87,3.437,18.78,6.546
163.6,8.0,31,0.849,0.35,5.664
94.1,5.0,82,1.245,15.75,2.698
109.3,5.0,67,2.414,15.82,3.78
99.2,4.0,57,5.004,17.13,4.409
99.1,5.0,63,6.357,16.42,5.535
97.0,5.0,71,2.256,6.22,3.341
105.2,6.0,62,2.517,0.27,4.944
153.8,7.0,60,1.865,25.75,4.071
116.5,4.0,34,3.614,0.6,5.252
70.2,2.0,38,5.408,6.83,3.745
143.2,6.0,53,4.784,12.36,6.099
112.8,3.0,75,2.683,4.77,4.162
123.8,7.0,58,1.864,3.07,5.549
115.8,6.0,88,2.728,2.13,5.025
117.6,5.0,61,5.06,4.58,6.039
119.4,5.0,36,2.27,1.56,4.579
57.1,3.0,51,1.201,25.61,1.132
123.2,5.0,56,2.312,0.07,5.682
82.0,3.0,78,2.398,1.43,3.806
88.9,4.0,23,1.198,6.35,2.753
104.9,5.0,22,3.017,6.64,4.457
176.8,8.0,18,3.413,13.25,6.97
74.0,4.0,5,6.277,17.23,4.269
103.7,5.0,60,1.492,2.79,4.863
96.2,4.0,86,3.776,10.08,3.947
142.5,7.0,55,4.2,6.14,6.4
95.3,4.0,5,3.434,6.74,4.25
113.2,4.0,32,1.728,3.02,4.426
74.1,3.0,81,1.683,8.04,3.017
150.9,6.0,4,2.84,2.69,6.386
63.8,2.0,55,2.831,1.4,3.047
122.6,5.0,39,2.113,2.68,4.538
113.5,5.0,82,4.861,2.45,6.14
119.1,6.0,46,2.27,19.35,3.919
64.1,4.0,50,1.159,1.91,2.544
94.6,3.0,65,2.458,0.23,3.213
140.0,5.0,73,3.374,1.47,5.894
186.5,8.0,46,3.17,3.51,7.448
101.1,5.0,64,3.159,11.97,3.442
135.4,6.0,72,5.324,2.7,7.075
109.8,4.0,47,1.646,2.67,3.978
102.9,5.0,64,2.246,0.34,5.085
91.0,5.0,32,5.448,5.13,5.842
105.1,5.0,31,1.122,5.23,3.568
131.2,5.0,0,2.653,2.92,6.035
135.0,6.0,60,4.726,2.54,7.067
68.1,3.0,22,4.694,14.15,3.382
88.3,4.0,73,3.658,5.65,3.784
72.9,3.0,85,3.7,3.32,2.918
106.9,6.0,78,1.702,0.27,4.497
93.5,4.0,24,5.043,1.07,5.054
117.7,6.0,58,1.584,10.96,4.219
120.5,6.0,67,1.627,6.2,4.228
49.8,3.0,45,3.237,11.45,2.17
48.5,2.0,45,2.177,7.58,1.844
104.8,5.0,39,2.983,1.74,4.372
154.9,7.0,27,3.3,37.18,4.435
88.4,6.0,51,6.051,1.93,5.516
87.5,4.0,89,3.304,10.49,3.602
145.3,7.0,19,2.058,2.44,5.939
137.1,6.0,4,3.686,10.39,5.479
75.3,3.0,5,1.87,10.23,3.21
132.5,6.0,52,4.1,8.87,5.743
80.6,4.0,24,2.798,38.77,2.26
87.2,4.0,41,3.255,2.91,4.307
75.2,4.0,85,1.22,0.23,2.957
67.9,3.0,6,0.987,2.8,2.478
109.0,5.0,15,1.383,3.98,4.408
64.7,3.0,19,5.963,3.44,4.714
110.5,4.0,41,1.621,18.43,3.555
109.3,6.0,62,3.779,21.66,4.714
99.6,4.0,16,2.036,6.46,3.679
89.7,5.0,9,2.44,16.9,3.554
84.0,4.0,7,2.664,6.5,3.986
72.2,3.0,72,5.696,13.94,4.125
167.7,8.0,2,3.536,0.95,7.367
98.2,4.0,56,3.233,14.22,3.658
97.1,4.0,52,4.872,5.92,4.817
76.4,5.0,9,2.044,37.92,1.289
161.3,7.0,49,4.396,1.74,7.064
85.7,5.0,25,4.078,13.28,4.073
114.0,6.0,46,4.057,9.19,4.965
121.4,5.0,12,2.535,6.6,5.091
109.0,5.0,60,2.233,2.18,4.524
64.2,3.0,71,1.838,12.23,2.155
130.5,5.0,0,1.89,1.51,5.18
85.4,4.0,47,1.799,0.83,3.639
136.7,7.0,58,3.206,2.45,5.917
83.7,3.0,0,2.453,1.82,4.137
102.6,4.0,65,3.301,2.23,4.495
123.9,6.0,48,3.386,10.06,5.297
157.5,9.0,27,1.687,1.68,5.898
128.9,5.0,43,1.665,20.09,4.087
124.9,6.0,61,2.452,11.49,4.443
132.6,6.0,57,1.918,2.36,4.871
79.7,3.0,69,1.829,3.86,2.667
138.7,6.0,3,5.83,8.62,6.548
95.7,5.0,70,1.363,1.62,3.538
96.7,5.0,3,6.756,33.16,5.064
107.9,5.0,58,3.096,2.3,4.633
92.7,5.0,31,4.237,0.73,4.348
74.4,4.0,5,4.018,27.42,2.982
105.1,5.0,61,3.588,7.38,4.291
96.9,4.0,49,5.742,0.45,6.032
95.7,5.0,59,1.67,11.51,3.149
101.5,5.0,33,2.534,0.6,4.522
49.9,2.0,25,1.852,1.29,2.813
95.9,3.0,56,1.267,1.83,3.691
164.5,6.0,19,2.019,3.98,5.812
159.8,7.0,73,6.313,0.57,7.764
106.3,5.0,61,2.514,5.15,3.744
105.1,4.0,89,6.636,7.99,6.696
46.2,3.0,2,6.949,3.72,4.339
87.0,4.0,52,10.463,0.02,8.0
132.1,7.0,50,6.408,12.24,6.566
92.0,4.0,77,7.855,3.75,5.864
147.3,6.0,38,3.147,18.1,5.326
144.2,7.0,84,3.012,3.67,5.852
86.5,4.0,21,3.104,0.4,4.644
109.0,5.0,76,2.718,4.84,4.784
169.2,7.0,46,2.908,19.08,5.689
63.8,3.0,84,3.813,16.48,2.16
92.7,4.0,19,2.204,12.92,2.982
61.7,4.0,23,1.462,4.94,1.803
77.8,3.0,50,3.202,1.69,3.737
186.9,9.0,49,1.99,2.09,7.258
92.7,3.0,13,2.085,0.0,3.626
53.4,3.0,58,2.549,3.28,2.239
74.1,4.0,36,2.299,0.32,3.569
59.7,2.0,13,4.48,8.93,3.238
110.4,5.0,45,2.522,6.09,4.428
120.8,5.0,62,4.582,2.55,5.757
139.3,6.0,2,2.982,12.76,5.555
129.7,6.0,82,2.612,0.7,5.217
64.7,2.0,54,2.919,10.1,2.502
118.7,5.0,23,1.52,10.01,3.495
100.1,5.0,67,3.165,4.47,4.472
146.3,6.0,75,3.983,17.41,5.588
134.7,5.0,86,4.246,9.3,5.587
196.0,9.0,71,1.479,9.96,7.413
76.0,4.0,18,1.372,26.69,1.762
72.5,3.0,14,2.135,16.16,2.416
88.8,3.0,18,5.069,6.0,5.047
101.4,4.0,78,3.002,0.25,5.286
83.1,4.0,27,1.918,0.0,3.817
77.3,4.0,29,1.414,15.7,1.599
116.1,6.0,80,1.998,8.62,4.415
88.7,4.0,18,1.938,27.36,1.992
82.0,3.0,36,4.141,7.2,3.434
64.7,4.0,26,4.287,10.69,4.198
47.3,2.0,27,1.695,28.25,1.138
161.6,7.0,53,3.815,9.58,6.302
159.9,6.0,66,3.643,6.27,6.202
136.1,6.0,23,1.599,4.87,5.194
125.1,6.0,3,2.618,16.33,4.35
86.0,3.0,57,3.169,3.81,3.863
126.9,6.0,49,2.925,9.13,4.849
70.9,2.0,59,1.259,4.96,2.259
108.1,5.0,40,2.884,27.43,2.844
79.7,4.0,69,3.619,4.05,4.271
127.0,7.0,56,5.533,11.1,6.673
173.3,7.0,68,2.012,20.94,5.382
74.0,4.0,65,2.127,9.47,2.817
87.4,5.0,44,2.474,1.65,4.281
107.5,4.0,29,3.099,1.92,4.867
55.4,2.0,52,2.84,1.24,3.503
60.6,3.0,57,3.568,8.19,2.603
171.5,7.0,51,1.638,6.35,6.438
